#,PSTW ID,Name,Website,"Geographical 
Extension",Country,Status,"Start
Year",Process Type,Application Type,PV - Internal,PV - External,PV - Relational
1,PSTW-684,iVoting - a cyberdemocracy tool,ÿhttps://ivoting.pl/en/ ,Local,Poland,Implemented,2020,Public services and engagement,Governance and voting ,Security; Cost-effectiveness;,Accountability; Transparency; Protecting citizen privacy; Usability;,Citizen involvement; Democracy; 
2,PSTW-685,TrueBee (Digital forensics and blockchain technology against deceptive deepfake imaging in social media),https://www.trublo.eu/,Across Countries,Italy,In development,2021,Adjudication,Managing Copyright and IPR ,,Accountability; Usability; Trustworthiness;,
3,PSTW-686,Nidi Gratis: Public Service for Free Nursery ,https://nidigratis.blockchainregionelombardia.it/,Regional,Italy,Implemented,2019,Internal management,Financial management and support ,Efficiency; Security; ,Social cohesion; Efficiency;,
4,PSTW-687,Lombardia supply chain traceability system,https://filiera.blockchainregionelombardia.it/,Regional,Italy,Pilot,2021,Public services and engagement,Tracking of goods and assets along the supply chain ,,,
5,PSTW-688,Project PININ: agri-food products tracking throughout the whole supply chain,https://www.csipiemonte.it/en/project/pinin,National,Italy,In development,2019,Public services and engagement,Tracking of goods and assets along the supply chain ,Efficiency; Innovation; Scalability;,Usability; Trustworthiness; Accountability; Transparency; Quality; Effectiveness;,Improve the dialogue;
6,PSTW-689,BLINC: BLockchain INclusive for digital Citizenships,https://www.csipiemonte.it/en/project/blinc,Across Countries,Italy,Pilot,2017,Enforcement,Certification and validation processes,Efficiency;,Usability; Protecting citizen privacy; Social cohesion; Trustworthiness;,
7,PSTW-690,Blockcerts academic credentials,https://newsbook.com.mt/en/malta-first-to-introduce-blockcerts-for-academic-credentials/,National,Malta,Implemented,2017,Enforcement,Certification and validation processes,Security; Efficiency; Scalability;,Enabling self-governance; Trustworthiness; Accountability; Flexibility; Usability; Effectiveness;,Openness;
8,PSTW-691,The Land Registry in the blockchain - testbed,http://chromaway.com/solutions,National,Sweden,In development,2016,Enforcement,Registration and data notarisation processes,Security; Efficiency;,Trustworthiness; Efficiency; Transparency; Protecting citizen privacy; ,
9,PSTW-799,uPort decentralised identity,https://www.uport.me/,Local,Switzerland,Implemented,2017,Public services and engagement,Payments and international transactions ,Efficiency; Security; Compliance with the law; Cost-effectiveness;,Enabling self-governance; Trustworthiness; Usability;,
10,PSTW-693,Infrachain governance framework,https://digital-luxembourg.public.lu/initiatives/infrachain,National,Luxembourg,Implemented,2017,Internal management,Internal management processes,Security; Efficiency; Compliance with the law;,Trustworthiness; Protecting citizen privacy; Transparency; Flexibility; Openness; Enabling self-governance; ,
11,PSTW-694,Pension infrastructure,https://medium.com/@nathaliedrost/future-of-pensions-9115ebb7926c,National,Netherlands,Pilot,2018,Internal management,Financial management and support ,Cost-effectiveness; Efficiency; Robustness; Scalability;,Transparency; Flexibility; Protecting citizen privacy;,
12,PSTW-695,Stadjerspas smart vouchers,https://stadjerspas.nl/,Local,Netherlands,Implemented,2016,Internal management,Financial management and support ,Cost-effectiveness; Security; Accountability to government;,Social cohesion; Protecting citizen privacy;,
13,PSTW-696,Blockchain pilot - Open Data notarization & change protocol,https://digitales.wien.gv.at/en/vienna-blockchain/,Local,Austria,Implemented,2017,Enforcement,Registration and data notarisation processes,Security; ,Transparency; Accountability; Efficiency; Protecting citizen privacy; Trustworthiness;,Citizen involvement; Openness; Democracy;
14,PSTW-697,Blockchain pilot - Digital food voucher,https://bdlt.school/files/slides/talk-brigitte-lutz-blockchain-in-the-city-of-vienna-technology-of-an-innovative-administration.pdf,Local,Austria,Pilot,2018,Internal management,Financial management and support ,Cost-effectiveness; Security; Accountability to government;,Efficiency;,
15,PSTW-698,"Austrian Federal Government's Finance Agency, Oesterreichische Kontrollbank",https://www.coindesk.com/markets/2018/09/27/austrian-government-to-notarize-13-billion-bond-auction-using-ethereum/,National,Austria,Pilot,2018,Enforcement,Registration and data notarisation processes,Security; Innovation; Cost-effectiveness;,Efficiency; Quality; Trustworthiness;  Transparency;,
16,PSTW-699,BeSure - Demonstrability Service,https://medium.com/@cryptovnet/besure-a-realistic-blockchain-case-for-the-belgian-government-c5b8c62dff38,National,Belgium,Pilot,2018,Enforcement,Certification and validation processes,Security;,Trustworthiness; Transparency; Accountability; Protecting citizen privacy;,
17,PSTW-700,FlowBikes - Supporting cities and schools to promote sustainable mobility,https://docplayer.nl/132223320-Flowbikes-in-production-today-first-blockchain-use-case.html,Local,Belgium,Implemented,2018,Public services and engagement,Payments and international transactions ,Security;,Sustainability;,Citizen involvement;
18,PSTW-820,Digital talent profile,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,Local,Belgium,Pilot,2020,Public services and engagement,Authentication of self-sovereign Digital ID services,,Enabling self-governance; Accountability; Trustworthiness; Integrity;,
19,PSTW-819,Privacy engine,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,Local,Belgium,Pilot,2020,Public services and engagement,Data Sharing Management,,Protecting citizen privacy; Accountability; Trustworthiness; Integrity;,
20,PSTW-703,i-Voting,https://www.cyberscoop.com/nasdaq-estonia-evoting-pilot/,National,Estonia,Implemented,2007,Public services and engagement,Governance and voting ,Security; Efficiency; Compliance with the law;,Protecting citizen privacy;,Citizen involvement; Democracy; 
21,PSTW-704,e-Health Records in Estonia,https://e-estonia.com/solutions/healthcare/,National,Estonia,Implemented,2020,Public services and engagement,Data Sharing Management,Security; Integrity; Adaptability; Cost-effectiveness;,Usability; Protecting citizen privacy; Trustworthiness; Transparency;,
22,PSTW-705,Blockchain-based Keyless Signature Infrastructure (KSI),https://e-estonia.com/solutions/cyber-security/ksi-blockchain/,National,Estonia,Implemented,2012,Enforcement,Certification and validation processes,Security; Integrity; Adaptability; Scalability;,Protecting citizen privacy; Trustworthiness; Accountability; Integrity;,
23,PSTW-706,Blockchain as Digital Enabler for the European Federalism in the Asylum Context,http://www.bamf.de/DE/DasBAMF/BAMFdigital/Blockchain/blockchain-node.html,National,Germany,In development,2020,Internal management,Internal management processes,Adaptability; Integrity; Security; Efficiency; Cooperativeness; Robustness;,Efficiency; Quality; Trustworthiness; Transparency; Protecting citizen privacy; ,
24,PSTW-707,Securing the Internet of Things,https://www.fnlondon.com/articles/isle-of-man-government-on-blockchain-iot-quest-20160808,Regional,United Kingdom,In development,2016,Enforcement,Certification and validation processes,Scalability; Security;,Protecting citizen privacy; Quality;,Citizen involvement;
25,PSTW-708,Digital Currency Business Register,https://www.ccn.com/isle-man-create-cryptocurrency-businesses-register/,Regional,United Kingdom,In development,2015,Enforcement,Registration and data notarisation processes,Security;,,
26,PSTW-709,Traceability of Italian food products,https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/,National,Italy,In development,2018,Public services and engagement,Tracking of goods and assets along the supply chain ,,Economy protection; Quality; Transparency; Efficiency;,Improve the dialogue; 
27,PSTW-710,DOGANA 4.0: innovation in the Customs Management,https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/,National,Italy,In development,2018,Public services and engagement,Tracking of goods and assets along the supply chain ,Adaptability; Compliance with the law; Cost-effectiveness; Cooperativeness;,"Efficiency, Accountability;",
28,PSTW-711,Food fraud and falsification of Made in Italy,https://www.corrierecomunicazioni.it/digital-economy/blockchain-contro-le-frodi-alimentari-best-case-enology-in-un-tag-nfc-tutta-la-storia-di-una-bottiglia/,National,Italy,Implemented,2018,Public services and engagement,Tracking of goods and assets along the supply chain ,Security; Integrity;,Trustworthiness; Transparency; Integrity; Quality; Economy protection; ,
29,PSTW-712,Decentralised Digital Identity Proof of Concept,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Authentication of self-sovereign Digital ID services,,Enabling self-governance; Cooperativeness; Enabling self-governance; Trustworthiness;,
30,PSTW-713,Execution of a judicial decision of juvenile court,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Enforcement,Registration and data notarisation processes,,Integrity; Trustworthiness;,
31,PSTW-714,Toxic Waste Transport,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Internal management,Internal management processes,Efficiency; Cooperativeness; Integrity; Cost-effectiveness; Security;,,
32,PSTW-715,Public Healthcare Benefits Subsidy,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Payments and international transactions ,,Efficiency; Accountability;,
33,PSTW-716,Healthcare Process Authorization,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Data Sharing Management,Security; Robustness;,Transparency; Enabling self-governance; Efficiency; Trustworthiness;,
34,PSTW-717,FlashCompany (Chamber of Commerce),https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Enforcement,Registration and data notarisation processes,,Efficiency; Accountability;,
35,PSTW-718,Blockchain-based Land Registry,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Enforcement,Registration and data notarisation processes,,Trustworthiness;  Openness;,
36,PSTW-719,Truck Driver Tracking,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,"Analysis, monitoring and regulatory research",Monitoring policy implementation,,Trustworthiness; ,
37,PSTW-720,Financing New School Buildings,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Payments and international transactions ,Cooperativeness; Efficiency;,Efficiency; ,
38,PSTW-721,Electric Vehicle Subsidy Registry,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Local,Netherlands,Pilot,2016,Public services and engagement,Payments and international transactions ,,Efficiency; Effectiveness; ,
39,PSTW-722,Medical Instrument Registration,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Enforcement,Registration and data notarisation processes,,Trustworthiness; ,
40,PSTW-723,Employment and Identity Fraud,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Data Sharing Management,Cooperativeness; Efficiency; ,Efficiency; Trustworthiness; ,
41,PSTW-724,Multi-stakeholder Financial Arrangements,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Payments and international transactions ,Cooperativeness; Efficiency; ,Efficiency; Trustworthiness; ,
42,PSTW-725,Large Event Permitting,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Local,Netherlands,Pilot,2016,Enforcement,Certification and validation processes,Cooperativeness; Efficiency; Robustness; Integrity; Cost-effectiveness;,Efficiency; ,
43,PSTW-726,Waste Sector Data Sharing,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,Local,Netherlands,Pilot,2016,Internal management,Internal management processes,Cooperativeness; Efficiency; Robustness; Integrity; Accountability to government; Cost-effectiveness;,,
44,PSTW-727,Blockchain-based Digital Identity: Do-it-Yourself Marriage,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,National,Netherlands,Pilot,2016,Public services and engagement,Authentication of self-sovereign Digital ID services,,Efficiency; Usability; Enabling self-governance; Trustworthiness;,
45,PSTW-728,Aid Subsidy Collection,https://www.welkominzuidhorn.nl/actueel/actueel-zuidhorn/zuidhorn-voert-kindpakket-uit-met-blockchain-technologie,Local,Netherlands,Pilot,2017,Internal management,Financial management and support ,Cooperativeness; Efficiency; Cost-effectiveness;,Social cohesion; Efficiency; Enabling self-governance; Usability; Trustworthiness;  Protecting citizen privacy; ,
46,PSTW-729,TrustForWills,https://www.esmartcity.es/2018/05/03/proyecto-trustforwills-aplica-tecnologia-blockchain-gestion-testamento-digital-personas,National,Spain,In development,2018,Internal management,Internal management processes,Security;,Efficiency; Trustworthiness; ,
47,PSTW-730,Distributed Open Data Portal,https://dadesobertes.valls.cat/,Local,Spain,Implemented,2019,Public services and engagement,Data Sharing Management,Security; Adaptability;,Accountability; Usability; Enabling self-governance; Efficiency; Integrity; Transparency; Trustworthiness;,Citizen involvement; 
48,PSTW-731,Decentralized Energy Trading Marketplace,https://group.vattenfall.com/press-and-media/newsroom/2017/at-the-forefront-field-trial-on-blockchain-technology,Across Countries,Sweden,Pilot,2016,Public services and engagement,Supporting disintermediation ,Cost-effectiveness; Security; Efficiency;,Trustworthiness; Efficiency; Enabling self-governance; Protecting citizen privacy;,
49,PSTW-732,PROCIVIS e-Government Pilot Project,https://generis.ch/schaffhauser-eid/?lang=en,Regional,Switzerland,Implemented,2019,Public services and engagement,Authentication of self-sovereign Digital ID services,Security;,Usability; Enabling self-governance; Efficiency;,
50,PSTW-733,City of Zug Blockchain Voting Trial,https://www.coindesk.com/crypto-valley-declares-blockchain-voting-trial-a-success,Local,Switzerland,Pilot,2018,Public services and engagement,Governance and voting ,Security; Robustness;,,Citizen involvement; Democracy; 
51,PSTW-734,e-Auction 3.0,https://idf.solutions/idf-e-auction-3-0/,National,Ukraine,Implemented,2015,Public services and engagement,Supporting disintermediation ,Cost-effectiveness; Efficiency;,Transparency; Efficiency; Trustworthiness; Enabling self-governance;,
52,PSTW-735,R3 Project Maison,https://www.researchgate.net/profile/Tomaso-Aste/publication/339612414_A_Case_Study_of_Using_Blockchain_Technology_in_Regulatory_Technology/links/6065a4c2458515614d27b482/A-Case-Study-of-Using-Blockchain-Technology-in-Regulatory-Technology.pdf,National,United Kingdom,In development,2017,Enforcement,Supporting inspection processes,Cost-effectiveness; Efficiency; Cooperativeness; Integrity; ,,
53,PSTW-736,GovCoin Proof of Concept,http://www.cityam.com/245128/government-has-quietly-been-testing-blockchain-technology,National,United Kingdom,In development,2016,Internal management,Financial management and support ,Efficiency; Stability; Cost-effectiveness; ,Social cohesion; Efficiency; Transparency; Trustworthiness;,Improve the dialogue; 
54,PSTW-737,RMGA The New Digital Gold Standard,http://www.royalmint.com/rmg,National,United Kingdom,Implemented,2018,Public services and engagement,Supporting disintermediation ,Security; Cost-effectiveness; ,Usability; Enabling self-governance; Flexibility; Efficiency;,
55,PSTW-738,Distributed Ledger-based Gross Settlement System,https://www.computerworld.com/article/3121228/bank-of-england-wants-next-payment-system-to-be-blockchain-ready.html,National,United Kingdom,In development,2017,Public services and engagement,Payments and international transactions ,Efficiency; Stability; Innovation; Security;,Protecting citizen privacy; ,
56,PSTW-739,Food Standards Agency,https://www.coindesk.com/markets/2018/07/02/uk-food-watchdog-trials-blockchain-for-meat-inspection/,National,United Kingdom,Pilot,2020,Public services and engagement,Tracking of goods and assets along the supply chain ,,Transparency; Efficiency; Quality;,
57,PSTW-740,"Aragon General Directorate of Contracting, Blockchain Project",https://www.europapress.es/aragon/noticia-aragon-pionera-apostar-tecnologia-blockchain-integrandose-asociacion-alastria-20180917130921.html,Regional,Spain,Implemented,2018,Internal management,Procurement management,Efficiency; ,,
58,PSTW-741,Basque Government Blockchain project,https://cointelegraph.com/news/spanish-city-of-bilbao-launches-171k-tender-to-develop-public-blockchain-network,Local,Spain,Implemented,2018,Internal management,Procurement management,Cooperativeness; Security; Efficiency; Robustness;,,
59,PSTW-742,V-ICT-OR Blockchain Project,https://pdfs.semanticscholar.org/1384/6690e1b39896899fc0ad4e00a9164d00dd68.pdf,Regional,Belgium,In development,2017,Internal management,Procurement management,Adaptability; Efficiency;,Fairness;  Competitiveness; ,Creativity; 
60,PSTW-743,Smart procurement tool in Antwerp,https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,Local,Belgium,In development,2018,Internal management,Procurement management,,Transparency; Trustworthiness; Accountability; Usability; Efficiency; Integrity;,
61,PSTW-744,"Malta Information Technology Agency (MITA),  Smart Public Contracts",https://ideas.repec.org/a/igg/jitpm0/v10y2019i2p16-28.html,National,Malta,In development,2018,Internal management,Procurement management,Efficiency; Cost-effectiveness; ,Fairness; Competitiveness; Transparency; Protecting citizen privacy;,
62,PSTW-745,Estonian Blockchain Technology,https://e-estonia.com/solutions/e-governance/data-embassy/,National,Estonia,Implemented,2017,Enforcement,Improving Cybersecurity ,Security; Robustness;,,
63,PSTW-746,Signaturit - The smartest e-Signature solution to send and sign documents on the go,https://cordis.europa.eu/project/id/735095,Across Countries,Spain,Pilot,2016,Enforcement,Certification and validation processes,Compliance with the law;,Usability; Efficiency; Trustworthiness;,
64,PSTW-747,Obrir Girona -  system of certifications of vaccinations and Covid19 tests,https://obrirgirona.cat/,Local,Spain,Pilot,2021,Enforcement,Certification and validation processes,Security; Integrity;,Enabling self-governance; Protecting citizen privacy; Trustworthiness;,Citizen involvement;
65,PSTW-748,Blockchain for Taxes project,https://www.efama.org/blockchain-taxes-project,Across Countries,European Union,Pilot,2020,Public services and engagement,Supporting disintermediation ,Security; Efficiency; Cost-effectiveness; Robustness;,Trustworthiness; Efficiency; Transparency; ,
66,PSTW-749,Decentralized Social Security System,https://medium.com/asurenetwork/blockchain-as-the-future-of-social-security-intro-1-5-2a600e64ac7b,National,Germany,In development,2018,Internal management,Internal management processes,Cost-effectiveness; Efficiency; Security;,Accountability; Transparency; Usability;,
67,PSTW-750,Digital vehicle registration ,https://www.cartrust.com/,National,Germany,Pilot,2021,Enforcement,Registration and data notarisation processes,Security;,Enabling self-governance; Efficiency; Trustworthiness;,
68,PSTW-751,Doing Business Abroad ,https://www.de4a.eu/doingbusinessabroadProof of Concept,Across Countries,European Union,Pilot,2021,Public services and engagement,Service integration (various),Security; Cooperativeness; ,Efficiency; Usability;,
69,PSTW-752,Cold Chain Monitoring of COVID-19 Vaccine,https://www.cnbc.com/2021/01/19/uk-hospitals-use-blockchain-to-track-coronavirus-vaccine-temperature.html,National,United Kingdom,Implemented,2021,Public services and engagement,Tracking of goods and assets along the supply chain ,Cooperativeness; Security; Integrity; Cost-effectiveness; Efficiency;,Accountability; Trustworthiness; Transparency;,
70,PSTW-753,Supporting Lifelong Learning,https://qualichain-project.eu/Proof of Concepts/supporting-lifelong-learning/,National,United Kingdom,Pilot,2019,Enforcement,Certification and validation processes,Security;,Transparency; Accountability; Enabling self-governance; Trustworthiness; Integrity; Usability;,
71,PSTW-754,University Process Optimisation through Smart Curriculum Design and Student Accreditation,https://qualichain-project.eu/Proof of Concepts/university-process-optimisation-through-smart-curriculum-design-and-student-accreditation/,National,Greece,Pilot,2019,Enforcement,Certification and validation processes,Security; Robustness;,Trustworthiness; Enabling self-governance; ,
72,PSTW-755,Staffing the Public Sector ? The Case of Greece,https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-greece/,National,Greece,Pilot,2019,Internal management,Internal management processes,Efficiency; ,Efficiency; Quality; Trustworthiness;,
73,PSTW-756,Staffing the Public Sector ? The Case of Portugal,https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-portugal/,National,Portugal,Pilot,2019,Enforcement,Certification and validation processes,Facilitating access; Integrity; Accountability to government; Security;,,
74,PSTW-757,Provision of Recruitment & Competency Management Services,https://qualichain-project.eu/Proof of Concepts/provision-of-recruitment-competency-management-services/,National,Portugal,Pilot,2019,Internal management,Internal management processes,Efficiency; ,,
75,PSTW-758,DECODE - Digital Democracy and Data Commons,http://decodeproject.eu/Proof of Concepts.html,Local,Spain,Pilot,2017,Public services and engagement,Governance and voting ,,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Transparency; Cooperativeness; Accountability;,Citizen involvement; Democracy;
76,PSTW-759,DECODE - Citizen Science Data Governance,http://decodeproject.eu/Proof of Concepts.html,Local,Spain,Pilot,2017,Public services and engagement,Data Sharing Management,Security;,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Transparency; Cooperativeness; ,Citizen involvement; 
77,PSTW-760,DECODE - Amsterdam Digital Register - age check with municipal census data,http://decodeproject.eu/Proof of Concepts.html,Local,Netherlands,Pilot,2017,Public services and engagement,Authentication of self-sovereign Digital ID services,,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Usability;,
78,PSTW-761,DECODE - Gebiedonline (Neighbourhood Online),http://decodeproject.eu/Proof of Concepts.html,Local,Netherlands,Pilot,2017,Public services and engagement,Data Sharing Management,Security;,Enabling self-governance; Protecting citizen privacy; Social cohesion; Trustworthiness;,
79,PSTW-762,Public administration employee skills cerification,https://www.key4biz.it/inail-sceglie-lirax-per-certificare-con-la-blockchain-le-competenze-dei-dipendenti/313710/,National,Italy,Pilot,2020,Enforcement,Certification and validation processes,,Protecting citizen privacy; Trustworthiness; Accountability; Transparency; Usability;,
80,PSTW-763,Buying and selling property with blockchain,https://www.computerweekly.com/news/252461839/HM-Land-Registry-completes-blockchain-trial,National,United Kingdom,Pilot,2019,Enforcement,Registration and data notarisation processes,Security;,Efficiency; Trustworthiness; Transparency;,
81,PSTW-764,Government-backed firm to launch Blockchain IDs,https://www.coindesk.com/business/2017/05/15/government-backed-firm-to-launch-blockchain-ids-in-luxembourg/,National,Luxembourg,Implemented,2017,Public services and engagement,Authentication of self-sovereign Digital ID services,Compliance with the law;,Protecting citizen privacy; ,
82,PSTW-765,The European Blockchain Services Infrastructure (EBSI),https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/ebsi,Across Countries,European Union,Pilot,2020,Internal management,Internal management processes,Security; Integrity; Efficiency; Cost-effectiveness; Cooperativeness;,Efficiency; Trustworthiness; Enabling self-governance; Transparency;,
83,PSTW-766,E-Voting for Parliamentary Election,https://cointelegraph.com/news/moscow-government-plans-to-use-blockchain-tech-in-e-voting-for-parliamentary-election,Local,Russia,Planned,2020,Public services and engagement,Governance and voting ,Security;,Protecting citizen privacy; Trustworthiness; ,Citizen involvement; Democracy; 
84,PSTW-767,Voting Trial Using NEM's Blockchain,https://www.coindesk.com/markets/2018/08/07/ukraine-election-official-launches-voting-trial-using-nems-blockchain/,National,Ukraine,Pilot,2021,Public services and engagement,Governance and voting ,Security;,Trustworthiness; Accountability;,Democracy; 
85,PSTW-768,Electronic qualification management system,https://www.corrierecomunicazioni.it/digital-economy/blockchain-al-servizio-dei-titoli-di-studio-in-italia-il-primo-wallet-universitario/,National,Italy,Implemented,2018,Enforcement,Certification and validation processes,,Efficiency; Accountability; Trustworthiness; Usability;,
86,PSTW-769,Study of therapies for viral hepatitis,https://www.corrierecomunicazioni.it/pa-digitale/e-health/la-blockchain-contro-lepatite-al-via-il-progetto-delliss/,National,Italy,Pilot,2018,Public services and engagement,Data Sharing Management,Security; Integrity;,Transparency; Efficiency; Protecting citizen privacy; ,Democracy; Citizen involvement; 
87,PSTW-770,Academic degrees storage,https://cointelegraph.com/news/principality-of-andorra-to-implement-blockchain-tech-for-digitizing-academic-degrees,National,Andorra,In development,2019,Enforcement,Certification and validation processes,Security; Cost-effectiveness; Efficiency;,,
88,PSTW-771,System for Tracking Diamonds,https://cointelegraph.com/news/russias-ministry-of-education-introduces-system-for-tracking-diamonds-via-blockchain,National,Russia,Implemented,2019,Public services and engagement,Tracking of goods and assets along the supply chain ,Security;,Accountability; Transparency; Trustworthiness;,
